theta,phi,E_SCF_ortho_int,E_CCSD_ortho_int,E_SCF_meta_int,E_CCSD_meta_int,E_SCF_para_int,E_CCSD_para_int
27.0,198.0,-3006.1191676321655,-3007.819246845350335,-3006.1329961939255,-3007.823902827034544,-3006.1216233607552,-3007.820006404610467
27.0,216.0,-3006.1205774067134,-3007.819964750488452,-3006.1333625081065,-3007.824391063315943,-3006.1216893643168,-3007.820319557874882
27.0,234.0,-3006.1213964740246,-3007.820821488234287,-3006.1326918145005,-3007.824211701745298,-3006.1217064226985,-3007.820639563778968
27.0,252.0,-3006.1213779805416,-3007.820309108170022,-3006.1330858367432,-3007.824668074512374,-3006.1214089416558,-3007.820649483193847
27.0,270.0,-3006.1214907291246,-3007.820509881622002,-3006.1331843232110,-3007.824806798439113,-3006.1196456810885,-3007.819551254416638
27.0,288.0,-3006.1213549920653,-3007.820325700356079,-3006.1328505660517,-3007.824462106530518,-3006.1173770331820,-3007.817918488904979
27.0,306.0,-3006.1215236740113,-3007.820105886017700,-3006.1326936653290,-3007.824101795299612,-3006.1148430658413,-3007.815956131754774
27.0,324.0,-3006.1222064021581,-3007.820351035755721,-3006.1314567948925,-3007.822999759678623,-3006.1124861040894,-3007.814057085542572
27.0,342.0,-3006.1227654705890,-3007.820614659154671,-3006.1289573085551,-3007.821145923376662,-3006.1108839437225,-3007.812703156303996
36.0,0.0,-3006.1208741683322,-3007.818385390618914,-3006.1232077814293,-3007.817178326519752,-3006.1047345965098,-3007.808365380091800
36.0,18.0,-3006.1204376473515,-3007.818369119901945,-3006.1200503574810,-3007.815410467509992,-3006.1052253645867,-3007.809014562309585
36.0,36.0,-3006.1184563976876,-3007.817560190449512,-3006.1169903916698,-3007.813797488384353,-3006.1075990118507,-3007.811203931884847
36.0,54.0,-3006.1154653903095,-3007.816349475631796,-3006.1160208298793,-3007.813651470233708,-3006.1114351925776,-3007.814161097164288
36.0,72.0,-3006.1122351720551,-3007.814992783031812,-3006.1158385693093,-3007.813839554704828,-3006.1156496215572,-3007.816950209850802
36.0,90.0,-3006.1097613939241,-3007.813841589463209,-3006.1175052010963,-3007.815200920160805,-3006.1184319208965,-3007.818797969059233
36.0,108.0,-3006.1082566351961,-3007.812990642034947,-3006.1204076974304,-3007.817069544609694,-3006.1202404642409,-3007.819915919323648
36.0,126.0,-3006.1081155512547,-3007.812619744904623,-3006.1237616328281,-3007.818856838147894,-3006.1205690720408,-3007.819806103947940
36.0,144.0,-3006.1092375446560,-3007.812921897606429,-3006.1270046557515,-3007.820248657443244,-3006.1201074840023,-3007.818995749476926
36.0,162.0,-3006.1114810082518,-3007.814073347264639,-3006.1293412042141,-3007.820964934239328,-3006.1185782788152,-3007.817564610646514
36.0,180.0,-3006.1143845924789,-3007.815677176624376,-3006.1298154181286,-3007.820883019649955,-3006.1175802711946,-3007.816648527921643
36.0,198.0,-3006.1168439417429,-3007.817106939708538,-3006.1293636212827,-3007.820814062487898,-3006.1174920145099,-3007.816785616350444
36.0,216.0,-3006.1182748496472,-3007.817911864712187,-3006.1291566888581,-3007.821195896329300,-3006.1180236881928,-3007.817589084988413
36.0,234.0,-3006.1188027178982,-3007.818881260733633,-3006.1283644818272,-3007.821114587163720,-3006.1188127488304,-3007.818579418704303
36.0,252.0,-3006.1184214682626,-3007.818565390847198,-3006.1286433519867,-3007.821709407171056,-3006.1192405305187,-3007.819158638946192
36.0,270.0,-3006.1178831823572,-3007.818555668552108,-3006.1290168861124,-3007.822028772716294,-3006.1174036185976,-3007.818086229990513
36.0,288.0,-3006.1174421771771,-3007.818221976849600,-3006.1292837351511,-3007.821905644011622,-3006.1146382055026,-3007.816059530311122
36.0,306.0,-3006.1175521387167,-3007.817495860771487,-3006.1297435533834,-3007.821766181910334,-3006.1112780741914,-3007.813436252044994
36.0,324.0,-3006.1186150702470,-3007.817671350000182,-3006.1290769389307,-3007.820804627242069,-3006.1081107052705,-3007.810842421715279
36.0,342.0,-3006.1201770479042,-3007.818340970700774,-3006.1264207030026,-3007.818805765932666,-3006.1057774511851,-3007.808895484074128
45.0,0.0,-3006.1186514512851,-3007.816277256506510,-3006.1199450786789,-3007.814276780313776,-3006.1001766287391,-3007.804806007995012
45.0,18.0,-3006.1184818384900,-3007.816207031794420,-3006.1156377428060,-3007.811883554748874,-3006.1006766559940,-3007.805692738349080
45.0,36.0,-3006.1161513448073,-3007.815350617150671,-3006.1123262614060,-3007.810337809330576,-3006.1037108696428,-3007.808368177750708
45.0,54.0,-3006.1123895156320,-3007.813993570274306,-3006.1105728361895,-3007.809664785434506,-3006.1082166555316,-3007.812004225107103
45.0,72.0,-3006.1089415311844,-3007.812790499284347,-3006.1108939381452,-3007.810451976738477,-3006.1130168023228,-3007.815429006272552
45.0,90.0,-3006.1057673346922,-3007.811298125926896,-3006.1130588890692,-3007.812188429606067,-3006.1165361285694,-3007.817552512329257
45.0,108.0,-3006.1037306288486,-3007.810111873362985,-3006.1165585214803,-3007.814381633932499,-3006.1179603794367,-3007.818461713519355
45.0,126.0,-3006.1035249242614,-3007.809448383433391,-3006.1205741105600,-3007.816423331197257,-3006.1175773545597,-3007.817718934089044
45.0,144.0,-3006.1051821285964,-3007.809895101158872,-3006.1241583829315,-3007.817851127406811,-3006.1160678654196,-3007.816024698576257
45.0,162.0,-3006.1082216326940,-3007.811336974073583,-3006.1265207584588,-3007.818407360939545,-3006.1141840537798,-3007.814153685277688
45.0,180.0,-3006.1118544093056,-3007.813207613188752,-3006.1264752738380,-3007.817980643403644,-3006.1122090063327,-3007.812578511430729
45.0,198.0,-3006.1145099938290,-3007.814767725706588,-3006.1253926369241,-3007.817582747446977,-3006.1123787945780,-3007.812933974224961
45.0,216.0,-3006.1156134283183,-3007.815525800171145,-3006.1229248305085,-3007.816632526445574,-3006.1134873960300,-3007.814337665404764
45.0,234.0,-3006.1154514103550,-3007.816383474852501,-3006.1227121973179,-3007.817264591291860,-3006.1153040968502,-3007.816096892198857
45.0,252.0,-3006.1134004343839,-3007.814504844914609,-3006.1224051276654,-3007.817730411259163,-3006.1167278882426,-3007.817485780544757
45.0,270.0,-3006.1124321322313,-3007.814281123600267,-3006.1235836804840,-3007.818466116937088,-3006.1162137063152,-3007.817166336134505
45.0,288.0,-3006.1114205174099,-3007.813678464257464,-3006.1247862664095,-3007.818859213752148,-3006.1130162328418,-3007.814899914938451
45.0,306.0,-3006.1113251171382,-3007.812778893451195,-3006.1261130063608,-3007.819007807731850,-3006.1088426209799,-3007.811666020818393
45.0,324.0,-3006.1133456127554,-3007.813687667103295,-3006.1262251202506,-3007.818215246801628,-3006.1042837805262,-3007.808788476680093
45.0,342.0,-3006.1168119732847,-3007.815538092602765,-3006.1237233654970,-3007.816223749398887,-3006.1008042760641,-3007.805838701659468
54.0,0.0,-3006.1160575568510,-3007.813796353991620,-3006.1171459393099,-3007.811672123042172,-3006.0956254651373,-3007.801421931025743
54.0,18.0,-3006.1163616049212,-3007.814098231883690,-3006.1119979264117,-3007.808846304827057,-3006.0970426448166,-3007.802859723203255
54.0,36.0,-3006.1136903616816,-3007.813219527194633,-3006.1079886033403,-3007.807057820925365,-3006.1006157777551,-3007.806051077012398
54.0,54.0,-3006.1097955592954,-3007.811893591196167,-3006.1060743390572,-3007.806730173512278,-3006.1057311497639,-3007.810113882817404
54.0,72.0,-3006.1059549521460,-3007.810716002136360,-3006.1065245829486,-3007.807711638748515,-3006.1109853467724,-3007.813895589260937
54.0,90.0,-3006.1021200999680,-3007.809121038671037,-3006.1090697920845,-3007.809632671951022,-3006.1145096202617,-3007.816166022630114
54.0,108.0,-3006.0997471104693,-3007.807739386171761,-3006.1130575367670,-3007.811956693388765,-3006.1153302007388,-3007.816659366142630
54.0,126.0,-3006.0995624855400,-3007.806932971347123,-3006.1175843466949,-3007.814086552045410,-3006.1142804158821,-3007.815420263592841
54.0,144.0,-3006.1017646784467,-3007.807500550264194,-3006.1214298213999,-3007.815477401596581,-3006.1116198285445,-3007.812826764966758
54.0,162.0,-3006.1055783360339,-3007.809036864163318,-3006.1236407690035,-3007.815828036250878,-3006.1093878899505,-3007.810608528996909
54.0,180.0,-3006.1097758318965,-3007.810958744992604,-3006.1234023342840,-3007.815405629543875,-3006.1067221920739,-3007.808352221310997
54.0,198.0,-3006.1122796822792,-3007.812472157182128,-3006.1210387668193,-3007.814261154979704,-3006.1065028406015,-3007.808670846699442
54.0,216.0,-3006.1127484210938,-3007.813045523482288,-3006.1186613847030,-3007.813808149293436,-3006.1085358429618,-3007.810818639358786
54.0,234.0,-3006.1113453099078,-3007.812491487428815,-3006.1167919581058,-3007.813453881190981,-3006.1114266332152,-3007.813336561126562
54.0,252.0,-3006.1094192940081,-3007.812151462829661,-3006.1164616730221,-3007.814096575198619,-3006.1142351217372,-3007.815520896003363
54.0,270.0,-3006.1072560925604,-3007.811648283488466,-3006.1182940120088,-3007.815215612200518,-3006.1142341496293,-3007.815746978574680
54.0,288.0,-3006.1058043322146,-3007.810892602810327,-3006.1200689374878,-3007.815863358086062,-3006.1110111362059,-3007.813409938673885
54.0,306.0,-3006.1056655644943,-3007.809912245691521,-3006.1221644091111,-3007.816111856039697,-3006.1063291921773,-3007.809990368044055
54.0,324.0,-3006.1080398111462,-3007.809985182304445,-3006.1233348558389,-3007.815740304997234,-3006.1011083506723,-3007.806353270908403
54.0,342.0,-3006.1132552788395,-3007.812965792876184,-3006.1212737193600,-3007.813623254095546,-3006.0973039101464,-3007.803115430242542
63.0,0.0,-3006.1132367470045,-3007.811468135961604,-3006.1149882940126,-3007.809584601522602,-3006.0928375818426,-3007.799499035807003
63.0,18.0,-3006.1143358237919,-3007.811827687614368,-3006.1091381103033,-3007.806586160033930,-3006.0945631143209,-3007.801094774577450
63.0,36.0,-3006.1119786577883,-3007.811532605723187,-3006.1045758660885,-3007.804887699635401,-3006.0983952051201,-3007.804392289561292
63.0,54.0,-3006.1076529737725,-3007.810258956998496,-3006.1022964092340,-3007.804536104490126,-3006.1039036298739,-3007.808597224790901
63.0,72.0,-3006.1030714551034,-3007.808753431601417,-3006.1027483069734,-3007.805581993939086,-3006.1094166972989,-3007.812469169377437
63.0,90.0,-3006.0993014960172,-3007.807444112079793,-3006.1056331005643,-3007.807587334577875,-3006.1127280213723,-3007.814659831151857
63.0,108.0,-3006.0966803462416,-3007.805950974259758,-3006.1100116052944,-3007.809880203546982,-3006.1128447422798,-3007.814641223107628
63.0,126.0,-3006.0964560855605,-3007.805093160655815,-3006.1148730232107,-3007.811947948889610,-3006.1106992960208,-3007.812775183078429
63.0,144.0,-3006.0991270274735,-3007.805678158610590,-3006.1189591254652,-3007.813328334933885,-3006.1072710905028,-3007.809874640781345
63.0,162.0,-3006.1036747407638,-3007.807310833625252,-3006.1208706053008,-3007.813540850811933,-3006.1045804959754,-3007.807199370634862
63.0,180.0,-3006.1082348143045,-3007.809119164839103,-3006.1200785672581,-3007.812533956742755,-3006.1019386646822,-3007.804919521498960
63.0,198.0,-3006.1102984078166,-3007.810448224320226,-3006.1166857942999,-3007.811170283088359,-3006.1011689090610,-3007.804846829394592
63.0,216.0,-3006.1098853441690,-3007.810617736733548,-3006.1113769353333,-3007.808896310119508,-3006.1040670464699,-3007.807683655430083
63.0,234.0,-3006.1073839361920,-3007.809643827812579,-3006.1097307838995,-3007.809380271690770,-3006.1082269214139,-3007.810944088953875
63.0,252.0,-3006.1049890937870,-3007.808874334801203,-3006.1090582736488,-3007.809461829776410,-3006.1122684252450,-3007.813914390266291
63.0,270.0,-3006.1020981522493,-3007.808283474432301,-3006.1115141979490,-3007.810978626638644,-3006.1125458847914,-3007.814332044525145
63.0,288.0,-3006.1000726449633,-3007.807265505097348,-3006.1143036499893,-3007.811950272438480,-3006.1094930696713,-3007.812309303712937
63.0,306.0,-3006.0995408746680,-3007.806022177901923,-3006.1181308251298,-3007.813242185386571,-3006.1042101750431,-3007.808709057993383
63.0,324.0,-3006.1011033555169,-3007.804966433023765,-3006.1206451393232,-3007.813480364822681,-3006.0987954578250,-3007.804760607732987
63.0,342.0,-3006.1094986682110,-3007.810400206870781,-3006.1190577943908,-3007.811867900004472,-3006.0947463337793,-3007.801238297546206
72.0,0.0,-3006.1110074072180,-3007.809616417164307,-3006.1136495928695,-3007.808200120159199,-3006.0914113130134,-3007.798490662637050
72.0,18.0,-3006.1126162008791,-3007.810432254912939,-3006.1076114959656,-3007.805535665310344,-3006.0932377324689,-3007.800187444492167
72.0,36.0,-3006.1101148980006,-3007.809984670569065,-3006.1021976449383,-3007.803615365142832,-3006.0970579708446,-3007.803405784323331
72.0,54.0,-3006.1060799384345,-3007.808930417395459,-3006.0993009249241,-3007.803054514829455,-3006.1028840945087,-3007.807515514794886
72.0,72.0,-3006.1015464096572,-3007.807813001999875,-3006.0996995275768,-3007.804023677881105,-3006.1084662379544,-3007.811371781410799
72.0,90.0,-3006.0975797262754,-3007.806530678890340,-3006.1028262892751,-3007.805953869635687,-3006.1113957524094,-3007.813350668972362
72.0,108.0,-3006.0946313809327,-3007.805061005713469,-3006.1074131398973,-3007.808070357897122,-3006.1106571161163,-3007.812722484912229
72.0,126.0,-3006.0943441827685,-3007.804135772531026,-3006.1124211845081,-3007.810011094922629,-3006.1072294865544,-3007.810083614846008
72.0,144.0,-3006.0974173312161,-3007.804579135809490,-3006.1168531772582,-3007.811505105164997,-3006.1030237060218,-3007.807020898045721
72.0,162.0,-3006.1027497540499,-3007.806254089040522,-3006.1186956478314,-3007.811473981890686,-3006.1000358294118,-3007.804294483220929
72.0,180.0,-3006.1075032881349,-3007.807854075853356,-3006.1170895298314,-3007.810287509071713,-3006.0982917375445,-3007.802659191056591
72.0,198.0,-3006.1088960473908,-3007.808797774220238,-3006.1126820800810,-3007.808641480159622,-3006.0988818630472,-3007.803332481545567
72.0,216.0,-3006.1072262896223,-3007.808323764655142,-3006.1057125673306,-3007.805288927685979,-3006.1015485099801,-3007.805881289369154
72.0,234.0,-3006.1044309717481,-3007.806767440652948,-3006.1033803574851,-3007.805562245248893,-3006.1058030912945,-3007.808958865845398
72.0,252.0,-3006.1017733810932,-3007.806896734504789,-3006.1027979062887,-3007.805415866947897,-3006.1103061397193,-3007.812234690333753
72.0,270.0,-3006.0984761262248,-3007.806065493048209,-3006.1053692344467,-3007.807450322273780,-3006.1112738273055,-3007.813212911912615
72.0,288.0,-3006.0957045696005,-3007.804706249854917,-3006.1091683456661,-3007.808654388511513,-3006.1085761194850,-3007.811443102750673
72.0,306.0,-3006.0947902598623,-3007.803228305043831,-3006.1142406449790,-3007.810564352405436,-3006.1033899075110,-3007.807677334445998
72.0,324.0,-3006.0961014434633,-3007.802182768664807,-3006.1181650790791,-3007.811608739882558,-3006.0974235853801,-3007.803632831070445
72.0,342.0,-3006.0989652130284,-3007.801649406396336,-3006.1175568626636,-3007.810359152218098,-3006.0934124779988,-3007.800386683037686
81.0,0.0,-3006.1093388745035,-3007.808140004811776,-3006.1131221336718,-3007.807614042878868,-3006.0912985091613,-3007.798497735270757
81.0,18.0,-3006.1109956599998,-3007.809170179167722,-3006.1067193198091,-3007.805103211865116,-3006.0930849527558,-3007.800172905904674
81.0,36.0,-3006.1084619317162,-3007.808699750277810,-3006.1007469710053,-3007.803068854901539,-3006.0966619560595,-3007.802978593490025
81.0,54.0,-3006.1047890900559,-3007.807857614740442,-3006.0972415263191,-3007.802137920103178,-3006.1025208405035,-3007.806955972825108
81.0,72.0,-3006.1008228405426,-3007.807155592078743,-3006.0975524957416,-3007.802849622108170,-3006.1083616307305,-3007.810810644356479
81.0,90.0,-3006.0968197167617,-3007.805962444005218,-3006.1009160078106,-3007.804563123826938,-3006.1107166819957,-3007.812575973345702
81.0,108.0,-3006.0937918675436,-3007.804599339642664,-3006.1053099517221,-3007.806228264194033,-3006.1090787523126,-3007.811302425576741
81.0,126.0,-3006.0933511117405,-3007.803587241408877,-3006.1101010027710,-3007.808074158146155,-3006.1043159757128,-3007.807719552230992
81.0,144.0,-3006.0965708627646,-3007.804088519046218,-3006.1150979921035,-3007.810198319767096,-3006.0991000922654,-3007.804587632328094
81.0,162.0,-3006.1025546665478,-3007.805850579823982,-3006.1169741084623,-3007.810025482957371,-3006.0959457319968,-3007.802181474615281
81.0,180.0,-3006.1075010428431,-3007.807333959645348,-3006.1148266764358,-3007.808711258031963,-3006.0953938201865,-3007.801447793284751
81.0,198.0,-3006.1085035641936,-3007.807949046185058,-3006.1094918971303,-3007.806709942500675,-3006.0952699618460,-3007.801764249726148
81.0,216.0,-3006.1049886146238,-3007.806573714410661,-3006.1030321930566,-3007.804953412922259,-3006.1015769197538,-3007.805994653354901
81.0,234.0,-3006.1039997814946,-3007.806855890078168,-3006.0978774749624,-3007.804173787145828,-3006.1067587286070,-3007.809732347908721
81.0,252.0,-3006.1007965776230,-3007.806908444123565,-3006.0951348994549,-3007.800169623757483,-3006.1110989103595,-3007.813023885897564
81.0,270.0,-3006.0969925418804,-3007.805835464007941,-3006.0991984308853,-3007.802990507446793,-3006.1120481526632,-3007.813879828557219
81.0,288.0,-3006.0940896864236,-3007.804558158123200,-3006.1045875827690,-3007.805593811679955,-3006.1087012353528,-3007.811852440740495
81.0,306.0,-3006.0932522593157,-3007.803058763632635,-3006.1107002463118,-3007.808362445993225,-3006.1028493813374,-3007.807604500299021
81.0,324.0,-3006.0966831508722,-3007.803893968369266,-3006.1160601162014,-3007.810227498055610,-3006.0967480682525,-3007.803141586013680
81.0,342.0,-3006.1033251178096,-3007.806178505128628,-3006.1165666930283,-3007.809644259779361,-3006.0927845439865,-3007.799902804972589
90.0,0.0,-3006.1081951849492,-3007.807493136418998,-3006.1136316835809,-3007.807836168716676,-3006.0926221647260,-3007.799480429772302
90.0,18.0,-3006.1095001148374,-3007.808288239365538,-3006.1074644079854,-3007.805683669314476,-3006.0939157796129,-3007.800891938220047
90.0,36.0,-3006.1067720624742,-3007.807700973415649,-3006.1006334465501,-3007.803378994792183,-3006.0971859285396,-3007.802922884950931
90.0,54.0,-3006.1038718130221,-3007.807144311917909,-3006.0959033373629,-3007.801214909417013,-3006.1042519200687,-3007.807825977756693
90.0,72.0,-3006.1008928810952,-3007.807318309831771,-3006.0997623797048,-3007.804318240006069,-3006.1092384125404,-3007.811624160770862
90.0,90.0,-3006.0976037535238,-3007.806056227677800,-3006.1041257658617,-3007.806621011915013,-3006.1109533692565,-3007.812867751788417
90.0,108.0,-3006.0944505979710,-3007.804458024629184,-3006.1092822060991,-3007.808482169254603,-3006.1085402014878,-3007.811038776277655
90.0,126.0,-3006.0936738131322,-3007.803435656128386,-3006.1125756385163,-3007.809234017097424,-3006.1029616484902,-3007.807147899923621
90.0,144.0,-3006.0968001017795,-3007.804016286799197,-3006.1158367322300,-3007.809923266159331,-3006.0969621148452,-3007.803228964564823
90.0,162.0,-3006.1031317348802,-3007.806031067083495,-3006.1162911778820,-3007.809351995545057,-3006.0934451472867,-3007.800550383556583
