frame,cavity_energy_hartree,no_cavity_energy_hartree,delta_cavity_minus_no_cavity_hartree,delta_cavity_minus_no_cavity_kcal_mol,xyz_comment
196,-436.5177714622,-436.6802616046301,0.16249014243010151,101.96410381675122,Step 195  E=-436.5177714622  phi=43.701  theta=50.125
200,-436.5125302387,-436.673162947578,0.16063270887804038,100.79854666539018,Step 199  E=-436.5125302387  phi=43.650  theta=49.186
204,-436.5104359001,-436.6705737727393,0.160137872639325,100.48803223748652,Step 203  E=-436.5104359001  phi=43.563  theta=47.959
208,-436.5084413201,-436.6676279950479,0.15918667494787542,99.89114667439496,Step 207  E=-436.5084413201  phi=43.472  theta=46.508
212,-436.5087687744,-436.6659943534244,0.15722557902444123,98.66054040289349,Step 211  E=-436.5087687744  phi=43.279  theta=45.012
216,-436.5170737433,-436.67366394119347,0.15659019789347894,98.26183272357372,Step 215  E=-436.5170737433  phi=42.886  theta=43.682
220,-436.5249996718,-436.6821184699446,0.15711879814460872,98.5935343891498,Step 219  E=-436.5249996718  phi=42.349  theta=42.649
224,-436.5245906044,-436.6811051296959,0.15651452529590415,98.21434745166857,Step 223  E=-436.5245906044  phi=41.881  theta=42.007
228,-436.5183345519,-436.6732343153428,0.1548997634428133,97.2010690904984,Step 227  E=-436.5183345519  phi=41.715  theta=41.827
232,-436.5191558234,-436.6731541180867,0.15399829468668713,96.63538890545733,Step 231  E=-436.5191558234  phi=41.976  theta=42.028
236,-436.5217991922,-436.6755037638686,0.1537045716686407,96.45107492888279,Step 235  E=-436.5217991922  phi=42.648  theta=42.349
240,-436.521454464,-436.6745049777361,0.15305051373610468,96.04064737963031,Step 239  E=-436.5214544640  phi=43.615  theta=42.413
244,-436.5144177028,-436.66674893793436,0.15233123513434066,95.58929324253253,Step 243  E=-436.5144177028  phi=44.713  theta=41.800
248,-436.5184775789,-436.6709928486224,0.15251526972241436,95.70477669010408,Step 247  E=-436.5184775789  phi=45.806  theta=40.310
252,-436.5266595724,-436.6798707981174,0.15321122571742762,96.14149567050592,Step 251  E=-436.5266595724  phi=46.856  theta=38.153
256,-436.5316308939,-436.6848027405006,0.15317184660057137,96.11678490159838,Step 255  E=-436.5316308939  phi=47.893  theta=35.693
260,-436.5229285776,-436.67544307169044,0.1525144940904397,95.7042899736916,Step 259  E=-436.5229285776  phi=48.903  theta=33.192
264,-436.5213794349,-436.6739430174073,0.15256358250729818,95.73509342033705,Step 263  E=-436.5213794349  phi=49.796  theta=30.863
268,-436.5240207557,-436.67666591321006,0.15264515751005092,95.78628250741112,Step 267  E=-436.5240207557  phi=50.477  theta=28.869
272,-436.5281636551,-436.67924270567215,0.1510790505721502,94.80353556648247,Step 271  E=-436.5281636551  phi=50.914  theta=27.285
276,-436.5203921471,-436.6691189756919,0.14872682859191855,93.32749398878764,Step 275  E=-436.5203921471  phi=51.163  theta=26.188
280,-436.5169502579,-436.6645789713712,0.14762871347119244,92.63841634692005,Step 279  E=-436.5169502579  phi=51.341  theta=25.669
284,-436.5215390631,-436.6689013516898,0.1473622885897612,92.47123220969581,Step 283  E=-436.5215390631  phi=51.592  theta=25.734
288,-436.5352864287,-436.68202749679074,0.14674106809076193,92.08141046109156,Step 287  E=-436.5352864287  phi=52.022  theta=26.328
292,-436.5377517458,-436.6840231172268,0.14627137142679203,91.78667135451462,Step 291  E=-436.5377517458  phi=52.653  theta=27.302
296,-436.5299475495,-436.677155464013,0.1472079145130465,92.37436101400759,Step 295  E=-436.5299475495  phi=53.430  theta=28.362
300,-436.5204206868,-436.6692984390441,0.14887775224411826,93.42220001040316,Step 299  E=-436.5204206868  phi=54.298  theta=29.164
304,-436.5186172316,-436.6679097346799,0.1492925030798915,93.68246008922645,Step 303  E=-436.5186172316  phi=55.254  theta=29.520
308,-436.5248463038,-436.67315518142397,0.14830887762394696,93.06522579669162,Step 307  E=-436.5248463038  phi=56.334  theta=29.436
312,-436.5285691924,-436.6761461326945,0.14757694029447066,92.60592818802479,Step 311  E=-436.5285691924  phi=57.566  theta=29.029
316,-436.5317631213,-436.67931944065464,0.14755631935463498,92.59298835291382,Step 315  E=-436.5317631213  phi=58.955  theta=28.545
320,-436.5312076677,-436.6784893464049,0.1472816787048714,92.42064874322433,Step 319  E=-436.5312076677  phi=60.442  theta=28.229
324,-436.5320455164,-436.6787855174991,0.14674000109909002,92.0807409137087,Step 323  E=-436.5320455164  phi=61.839  theta=28.150
328,-436.5258681688,-436.67283854236985,0.1469703735698431,92.22530182166958,Step 327  E=-436.5258681688  phi=62.882  theta=28.247
332,-436.526739085,-436.67500165174073,0.14826256674075466,93.03616527873622,Step 331  E=-436.5267390850  phi=63.417  theta=28.370
336,-436.5220180713,-436.671201124653,0.1491830533529992,93.61377934866792,Step 335  E=-436.5220180713  phi=63.505  theta=28.329
340,-436.5272250902,-436.6762189110856,0.14899382088560742,93.49503418257923,Step 339  E=-436.5272250902  phi=63.385  theta=28.029
344,-436.5265488838,-436.67536647345673,0.14881758965674408,93.38444741684171,Step 343  E=-436.5265488838  phi=63.374  theta=27.517
348,-436.529549853,-436.6793785190632,0.14982866606322887,94.01890744091259,Step 347  E=-436.5295498530  phi=63.744  theta=26.957
352,-436.5259270081,-436.67680547196596,0.15087846386597903,94.67766550798893,Step 351  E=-436.5259270081  phi=64.601  theta=26.548
356,-436.5249987005,-436.6757694557465,0.15077075524646943,94.61007732880842,Step 355  E=-436.5249987005  phi=65.849  theta=26.405
360,-436.5198733183,-436.67035765848544,0.1504843401854714,94.43034916451779,Step 359  E=-436.5198733183  phi=67.229  theta=26.576
364,-436.5233706696,-436.67483815388476,0.1514674842847512,95.0472814011851,Step 363  E=-436.5233706696  phi=68.501  theta=27.150
368,-436.5253054825,-436.67809762063075,0.1527921381307351,95.87851423939412,Step 367  E=-436.5253054825  phi=69.643  theta=28.248
372,-436.5262535967,-436.67919322225674,0.152939625556769,95.97106399653556,Step 371  E=-436.5262535967  phi=70.825  theta=29.879
376,-436.5244134618,-436.676936136119,0.152522674319016,95.70942314462323,Step 375  E=-436.5244134618  phi=72.215  theta=148.115
380,-436.5239974443,-436.67702682462664,0.15302938032664315,96.02738596497394,Step 379  E=-436.5239974443  phi=73.874  theta=146.004
384,-436.5249515652,-436.6789547846776,0.15400321947760176,96.63847925841404,Step 383  E=-436.5249515652  phi=75.730  theta=144.176
388,-436.5234343629,-436.677339680419,0.15390531751899061,96.57704485185621,Step 387  E=-436.5234343629  phi=77.577  theta=142.989
392,-436.5197866364,-436.6728321131558,0.1530454767557785,96.03748662675497,Step 391  E=-436.5197866364  phi=79.138  theta=142.581
396,-436.5146396775,-436.6677009476835,0.1530612701835139,96.04739715228686,Step 395  E=-436.5146396775  phi=80.189  theta=142.935
400,-436.5192616339,-436.67357538626305,0.15431375236306621,96.83334158605113,Step 399  E=-436.5192616339  phi=80.730  theta=143.848
404,-436.5219790737,-436.6774974249386,0.15551835123864066,97.58923879291986,Step 403  E=-436.5219790737  phi=81.072  theta=144.861
408,-436.524580735,-436.68065954658283,0.15607881158285863,97.9409329687533,Step 407  E=-436.5245807350  phi=81.620  theta=145.519
412,-436.5204891355,-436.677316558997,0.1568274234970204,98.41069403728632,Step 411  E=-436.5204891355  phi=82.573  theta=145.604
416,-436.5194904832,-436.67763337471325,0.15814289151325056,99.23616268029774,Step 415  E=-436.5194904832  phi=83.854  theta=145.064
420,-436.5160031951,-436.67461704583826,0.15861385073827705,99.53169405589928,Step 419  E=-436.5160031951  phi=85.241  theta=143.967
424,-436.51895409,-436.6764809983669,0.15752690836688998,98.84962742009328,Step 423  E=-436.5189540900  phi=86.496  theta=142.488
428,-436.5190277852,-436.67526764175454,0.15623985655452088,98.04199021422158,Step 427  E=-436.5190277852  phi=87.462  theta=140.803
432,-436.5203940324,-436.67641508797834,0.15602105557832147,97.9046905287222,Step 431  E=-436.5203940324  phi=88.096  theta=139.139
436,-436.5189094578,-436.67487818492714,0.1559687271271173,97.87185392982853,Step 435  E=-436.5189094578  phi=88.522  theta=137.879
440,-436.5226867863,-436.6777272927859,0.15504050648587508,97.28938668342812,Step 439  E=-436.5226867863  phi=89.038  theta=137.386
444,-436.5269566886,-436.68118041068306,0.1542237220830316,96.77684673237685,Step 443  E=-436.5269566886  phi=89.926  theta=137.829
448,-436.5288610685,-436.6837201038093,0.15485903530930045,97.17551180085816,Step 447  E=-436.5288610685  phi=91.200  theta=139.206
452,-436.5193845573,-436.67545072413776,0.15606616683777474,97.93299827141605,Step 451  E=-436.5193845573  phi=92.604  theta=141.275
456,-436.5128021225,-436.6691073133705,0.15630519087051198,98.08298811648743,Step 455  E=-436.5128021225  phi=93.801  theta=143.609
460,-436.5136430726,-436.669467141509,0.15582406890899847,97.78107952745789,Step 459  E=-436.5136430726  phi=94.596  theta=145.812
464,-436.5207466986,-436.6765925292934,0.15584583069335167,97.79473525331204,Step 463  E=-436.5207466986  phi=95.041  theta=147.529
468,-436.529079829,-436.68517967827756,0.1560998492775525,97.95413432148615,Step 467  E=-436.5290798290  phi=95.383  theta=148.439
472,-436.526097295,-436.6815597768328,0.15546248183278522,97.5541802114353,Step 471  E=-436.5260972950  phi=95.954  theta=148.436
476,-436.5258083285,-436.6802099215566,0.15440159305660472,96.88846245345482,Step 475  E=-436.5258083285  phi=97.021  theta=147.660
480,-436.5205061686,-436.6748096083727,0.15430343977271832,96.8268703379057,Step 479  E=-436.5205061686  phi=98.615  theta=146.343
484,-436.5229809486,-436.6779624237698,0.15498147516984773,97.25234397335454,Step 483  E=-436.5229809486  phi=100.491  theta=144.770
488,-436.5174805181,-436.67199071612276,0.15451019802276278,96.95661309864931,Step 487  E=-436.5174805181  phi=102.305  theta=143.221
492,-436.5208711214,-436.67377899469267,0.1529078732926905,95.95113915000336,Step 491  E=-436.5208711214  phi=103.812  theta=141.878
496,-436.5212685233,-436.6732161143002,0.15194759100018018,95.34855291367809,Step 495  E=-436.5212685233  phi=104.941  theta=140.908
500,-436.5293777625,-436.6813767970962,0.15199903459620145,95.38083425756132,Step 499  E=-436.5293777625  phi=105.792  theta=140.530
504,-436.5316860382,-436.6832008318622,0.15151479366221565,95.07696848375606,Step 503  E=-436.5316860382  phi=106.559  theta=140.807
508,-436.5318324244,-436.68231030309437,0.15047787869434615,94.42629451762011,Step 507  E=-436.5318324244  phi=107.420  theta=141.526
512,-436.5261001244,-436.676378833436,0.1502787090360016,94.301313670063,Step 511  E=-436.5261001244  phi=108.407  theta=142.358
516,-436.5225670237,-436.67358759568157,0.1510205719815758,94.76683969686718,Step 515  E=-436.5225670237  phi=109.353  theta=143.036
520,-436.5206724843,-436.67219886078453,0.15152637648452583,95.08423681449209,Step 519  E=-436.5206724843  phi=110.024  theta=143.444
524,-436.522578428,-436.67387080662184,0.15129237862186073,94.93740093875923,Step 523  E=-436.5225784280  phi=110.333  theta=143.591
528,-436.5259287287,-436.67679380674025,0.1508650780402263,94.66926577551095,Step 527  E=-436.5259287287  phi=110.393  theta=143.545
532,-436.5274510792,-436.678310224643,0.1508591454430075,94.66554301455034,Step 531  E=-436.5274510792  phi=110.430  theta=143.419
536,-436.5291854372,-436.6799482219854,0.15076278478539962,94.60507578897445,Step 535  E=-436.5291854372  phi=110.668  theta=143.374
540,-436.5293731055,-436.6790742806407,0.1497011751407058,93.93890567917232,Step 539  E=-436.5293731055  phi=111.243  theta=143.585
544,-436.5275969,-436.67637078321934,0.1487738832193486,93.3570212132985,Step 543  E=-436.5275969000  phi=112.157  theta=144.201
548,-436.5231686912,-436.67231371026094,0.14914501906093847,93.58991247006053,Step 547  E=-436.5231686912  phi=113.287  theta=145.270
552,-436.5201359781,-436.66927323628505,0.14913725818507828,93.58504244693123,Step 551  E=-436.5201359781  phi=114.445  theta=146.693
556,-436.5219947047,-436.6698672748836,0.14787257018360833,92.79143874427491,Step 555  E=-436.5219947047  phi=115.484  theta=148.271
560,-436.5329473127,-436.6802644848822,0.14731717218217,92.44292123649664,Step 559  E=-436.5329473127  phi=116.387  theta=149.719
564,-436.5372495026,-436.68529329166336,0.14804378906336524,92.89888021346084,Step 563  E=-436.5372495026  phi=117.241  theta=150.657
568,-436.5345959733,-436.6833514816515,0.14875550835154172,93.34549080966502,Step 567  E=-436.5345959733  phi=118.145  theta=150.789
572,-436.5277623873,-436.67648149904113,0.14871911174111574,93.32265159179894,Step 571  E=-436.5277623873  phi=119.141  theta=150.099
576,-436.5227607412,-436.67107498761476,0.14831424641477042,93.0685947637976,Step 575  E=-436.5227607412  phi=120.167  theta=148.804
580,-436.5251415181,-436.67355216168716,0.1484106435871695,93.12908490275092,Step 579  E=-436.5251415181  phi=121.085  theta=147.181
584,-436.5274095262,-436.67637976646705,0.1489702402670332,93.48023712101966,Step 583  E=-436.5274095262  phi=121.772  theta=145.442
588,-436.5275864503,-436.67644265008084,0.14885619978082332,93.40867563549618,Step 587  E=-436.5275864503  phi=122.193  theta=143.732
592,-436.5258174143,-436.6742172367123,0.14839982241232974,93.12229451301847,Step 591  E=-436.5258174143  phi=122.392  theta=142.247
596,-436.5277806959,-436.6771540803478,0.1493733844478129,93.73321391387232,Step 595  E=-436.5277806959  phi=122.427  theta=141.314
600,-436.5278095612,-436.6788734629666,0.1510639017665767,94.79402954746435,Step 599  E=-436.5278095612  phi=122.375  theta=141.253
604,-436.5253939849,-436.67685885551896,0.15146487061895186,95.04564130113397,Step 603  E=-436.5253939849  phi=122.360  theta=142.143
608,-436.5213277279,-436.6724224152428,0.15109468734283382,94.81334778823019,Step 607  E=-436.5213277279  phi=122.532  theta=143.690
612,-436.5225445251,-436.6739555269785,0.15141100187850043,95.01183815614485,Step 611  E=-436.5225445251  phi=122.999  theta=145.312
616,-436.5260579702,-436.67800421816725,0.15194624796725975,95.34771014779655,Step 615  E=-436.5260579702  phi=123.793  theta=146.472
620,-436.5270958029,-436.6787129142451,0.1516171113451037,95.14117379913249,Step 619  E=-436.5270958029  phi=124.898  theta=147.016
624,-436.5239180502,-436.67482200018236,0.15090394998236434,94.6936582874778,Step 623  E=-436.5239180502  phi=126.290  theta=147.034
628,-436.5230226439,-436.67428397553977,0.1512613316397733,94.9179186633583,Step 627  E=-436.5230226439  phi=127.932  theta=146.565
632,-436.5258103836,-436.67852261386196,0.15271223026195457,95.82837129468214,Step 631  E=-436.5258103836  phi=129.742  theta=145.561
636,-436.5252643313,-436.6788823786319,0.15361804733191775,96.39678008785211,Step 635  E=-436.5252643313  phi=131.612  theta=144.018
640,-436.5187755158,-436.6724850207951,0.15370950499510627,96.45417063797858,Step 639  E=-436.5187755158  phi=133.420  theta=142.065
644,-436.5164856599,-436.67132325625226,0.1548375963522517,97.16205865219604,Step 643  E=-436.5164856599  phi=135.003  theta=140.002
648,-436.5232507147,-436.6801423304469,0.1568916157469289,98.45097528226533,Step 647  E=-436.5232507147  phi=136.197  theta=138.245
652,-436.52680157,-436.6840168199315,0.15721524993153935,98.65405879923908,Step 651  E=-436.5268015700  phi=136.928  theta=137.115
656,-436.5209494279,-436.6766841795067,0.15573475160670114,97.72503207406855,Step 655  E=-436.5209494279  phi=137.241  theta=136.679
660,-436.5149961537,-436.67064669537285,0.15565054167285552,97.6721895427702,Step 659  E=-436.5149961537  phi=137.220  theta=136.822
664,-436.5147600475,-436.67224555759265,0.15748551009266976,98.82364961081022,Step 663  E=-436.5147600475  phi=136.908  theta=137.294
668,-436.5188661489,-436.67748461795964,0.15861846905966104,99.534592096322,Step 667  E=-436.5188661489  phi=136.329  theta=137.677
672,-436.5172550133,-436.67592846208845,0.1586734487884769,99.56909239703536,Step 671  E=-436.5172550133  phi=135.582  theta=42.396
676,-436.514130916,-436.673812396377,0.15968148037700303,100.2016417689904,Step 675  E=-436.5141309160  phi=134.866  theta=43.003
680,-436.5114591462,-436.6729762862064,0.1615171400063673,101.35353557757163,Step 679  E=-436.5114591462  phi=134.420  theta=44.009
684,-436.5116936083,-436.67372030223123,0.1620266939312387,101.67328549297447,Step 683  E=-436.5116936083  phi=134.455  theta=45.200
688,-436.5122269261,-436.6733936046962,0.16116667859614608,101.1336177223643,Step 687  E=-436.5122269261  phi=135.092  theta=46.391
692,-436.5195057328,-436.68048175051234,0.1609760177123576,101.01397621145378,Step 691  E=-436.5195057328  phi=136.312  theta=47.470
696,-436.5183909575,-436.67988636014877,0.16149540264876805,101.33989517973701,Step 695  E=-436.5183909575  phi=137.934  theta=48.376
700,-436.510310491,-436.67147225193594,0.16116176093595413,101.13053184400364,Step 699  E=-436.5103104910  phi=139.693  theta=49.069
704,-436.5036905814,-436.66386478881884,0.1601742074188337,100.51083265586622,Step 703  E=-436.5036905814  phi=141.388  theta=49.557
708,-436.5068272356,-436.66721752916135,0.16039029356136325,100.64642875751727,Step 707  E=-436.5068272356  phi=142.948  theta=49.907
712,-436.5110099343,-436.672947226701,0.16193729240103494,101.61718518577588,Step 711  E=-436.5110099343  phi=144.317  theta=50.200
716,-436.5101766588,-436.6731925666907,0.16301590789072407,102.29402662442702,Step 715  E=-436.5101766588  phi=145.392  theta=50.510
720,-436.5098691268,-436.67308815767444,0.1632190308744157,102.42148822109347,Step 719  E=-436.5098691268  phi=146.089  theta=50.905
724,-436.5132395558,-436.6771551481155,0.16391559231550445,102.85858712464372,Step 723  E=-436.5132395558  phi=146.374  theta=51.442
728,-436.5125687686,-436.6776383759315,0.16506960733153164,103.58274248041187,Step 727  E=-436.5125687686  phi=146.242  theta=52.162
732,-436.5045130713,-436.6700177293492,0.16550465804920123,103.85574092744747,Step 731  E=-436.5045130713  phi=145.724  theta=53.064
736,-436.5003257791,-436.6660382527507,0.16571247365067165,103.9861471862283,Step 735  E=-436.5003257791  phi=144.947  theta=54.083
740,-436.4974760554,-436.6638570009354,0.1663809455354226,104.40561962705432,Step 739  E=-436.4974760554  phi=144.167  theta=55.122
744,-436.4998922445,-436.6668673352586,0.16697509075856942,104.77845138354829,Step 743  E=-436.4998922445  phi=143.659  theta=56.070
748,-436.5009279537,-436.66852856035683,0.1676006066568334,105.17096853588603,Step 747  E=-436.5009279537  phi=143.531  theta=56.835
752,-436.5087738725,-436.6775902006528,0.16881632815278635,105.93384529241867,Step 751  E=-436.5087738725  phi=143.688  theta=57.377
756,-436.5073978566,-436.67675290772115,0.16935505112115834,106.27189905896749,Step 755  E=-436.5073978566  phi=143.967  theta=57.699
760,-436.5023068,-436.67079788921524,0.16849108921525158,105.72975477778138,Step 759  E=-436.5023068000  phi=144.253  theta=57.826
764,-436.4948645952,-436.6624772497797,0.1676126545797274,105.1785287216448,Step 763  E=-436.4948645952  phi=144.537  theta=57.824
768,-436.5037994938,-436.67122317171885,0.1674236779188618,105.05994407657482,Step 767  E=-436.5037994938  phi=144.924  theta=57.796
772,-436.5101311942,-436.6770511997412,0.16692000554115793,104.74388488774176,Step 771  E=-436.5101311942  phi=145.525  theta=57.884
776,-436.5063382063,-436.6726511363746,0.1663129300746391,104.36293928102991,Step 775  E=-436.5063382063  phi=146.374  theta=58.217
780,-436.4985518485,-436.66585374427234,0.16730189577236843,104.98352462587849,Step 779  E=-436.4985518485  phi=147.404  theta=58.827
784,-436.4994714139,-436.66941179653736,0.1699403826373782,106.63920013086317,Step 783  E=-436.4994714139  phi=148.397  theta=59.653
788,-436.4981914511,-436.6696691362327,0.17147768513268602,107.60387201116967,Step 787  E=-436.4981914511  phi=149.028  theta=60.591
792,-436.4889664235,-436.66036628336485,0.17139985986483453,107.55503591827136,Step 791  E=-436.4889664235  phi=149.025  theta=61.535
796,-436.4931632036,-436.665443544465,0.1722803408650293,108.10754608762613,Step 795  E=-436.4931632036  phi=148.307  theta=62.417
800,-436.5038763726,-436.67718883106767,0.17331245846764887,108.7552096616172,Step 799  E=-436.5038763726  phi=147.038  theta=63.200
804,-436.5126285908,-436.6847776042368,0.17214901343680822,108.02513688221306,Step 803  E=-436.5126285908  phi=145.561  theta=63.852
808,-436.5026148978,-436.67287543051395,0.17026053271393948,106.8400973370274,Step 807  E=-436.5026148978  phi=144.250  theta=64.376
812,-436.5000956686,-436.6705440653442,0.17044839674417744,106.9579837958374,Step 811  E=-436.5000956686  phi=143.354  theta=64.806
816,-436.4967085263,-436.6687075943056,0.17199906800561848,107.93104470354902,Step 815  E=-436.4967085263  phi=142.904  theta=65.177
820,-436.4994045584,-436.67170613343774,0.1723015750377499,108.1208707321822,Step 819  E=-436.4994045584  phi=142.756  theta=65.529
824,-436.4933637488,-436.6652643289262,0.17190058012619147,107.8692426261282,Step 823  E=-436.4933637488  phi=142.754  theta=65.897
828,-436.4965126433,-436.6702680891179,0.17375544581790336,109.03318842079202,Step 827  E=-436.4965126433  phi=142.848  theta=66.281
832,-436.4934917853,-436.6692831399354,0.17579135463535067,110.3107404920688,Step 831  E=-436.4934917853  phi=143.084  theta=66.666
836,-436.4925327835,-436.6674948554913,0.17496207199133096,109.79035777627033,Step 835  E=-436.4925327835  phi=143.510  theta=67.022
840,-436.4940670131,-436.66767886803973,0.17361185493973608,108.94308378435299,Step 839  E=-436.4940670131  phi=144.106  theta=67.302
844,-436.5040492815,-436.6778263018747,0.17377702037470044,109.04672665958088,Step 843  E=-436.5040492815  phi=144.773  theta=67.487
848,-436.5041944021,-436.67808280247215,0.1738884003721637,109.1166186632102,Step 847  E=-436.5041944021  phi=145.400  theta=67.577
